,ano,estado_ibge,quantidade,valor_em_reais,estado,pib,codigo,area,população,idh,receita,despesa,natural_key
0,2003,11,4,254300.0,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,254311.0
1,2004,11,11,394799.48,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,394810.48
2,2005,11,12,249039.11,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,249050.11
3,2006,11,7,177412.02,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,177423.02
4,2007,11,19,446508.0,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,446519.0
5,2008,11,10,1370330.0,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,1370341.0
6,2009,11,5,562722.0,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,562733.0
7,2010,11,7,867498.0,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,867509.0
8,2011,11,5,500000.0,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,500011.0
9,2012,11,8,1000000.0,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,1000011.0
10,2013,11,9,1280807.0,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,1280818.0
12,2004,12,3,112041.19,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,112053.19
13,2005,12,2,1113391.72,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,1113403.72
14,2006,12,8,1089745.25,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,1089757.25
15,2007,12,4,593448.29,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,593460.29
16,2008,12,7,655904.5,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,655916.5
17,2009,12,4,25000.0,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,25012.0
18,2010,12,3,60000.0,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,60012.0
19,2011,12,2,90000.0,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,90012.0
20,2012,12,4,304374.82,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,304386.82
21,2013,12,4,43931.46,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,43943.46
22,2003,13,6,300000.0,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,300013.0
23,2004,13,11,3400000.0,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,3400013.0
24,2005,13,19,738033.73,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,738046.73
25,2006,13,19,1592331.11,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,1592344.11
26,2007,13,15,1826968.88,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,1826981.88
27,2008,13,24,750193.86,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,750206.86
28,2009,13,14,714888.46,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,714901.46
